시도,시군구,산부인과,연도
충청남도,아산시,3,2021
충청남도,예산군,1,2021
충청남도,천안동남구,5,2021
충청남도,천안서북구,13,2021
충청남도,홍성군,3,2021
전라북도,군산시,7,2021
전라북도,김제시,2,2021
전라북도,남원시,2,2021
전라북도,부안군,1,2021
전라북도,완주군,1,2021
전라북도,익산시,10,2021
전라북도,전주덕진구,12,2021
전라북도,전주완산구,9,2021
전라북도,정읍시,4,2021
전라남도,고흥군,1,2021
전라남도,나주시,3,2021
전라남도,목포시,5,2021
전라남도,순천시,4,2021
전라남도,여수시,2,2021
전라남도,장흥군,1,2021
전라남도,해남군,1,2021
전라남도,화순군,1,2021
경상북도,경산시,7,2021
경상북도,경주시,5,2021
경상북도,구미시,15,2021
경상북도,김천시,4,2021
경상북도,문경시,3,2021
경상북도,상주시,2,2021
경상북도,안동시,4,2021
경상북도,영주시,3,2021
경상북도,영천시,1,2021
경상북도,청도군,1,2021
경상북도,칠곡군,2,2021
경상북도,포항남구,2,2021
경상북도,포항북구,2,2021
경상남도,거제시,2,2021
경상남도,김해시,11,2021
경상남도,남해군,1,2021
경상남도,밀양시,2,2021
경상남도,사천시,2,2021
경상남도,양산시,8,2021
경상남도,진주시,5,2021
경상남도,창녕군,1,2021
경상남도,창원마산합포구,6,2021
경상남도,창원마산회원구,7,2021
경상남도,창원성산구,3,2021
경상남도,창원의창구,7,2021
경상남도,창원진해구,3,2021
경상남도,통영시,2,2021
경상남도,함안군,1,2021
제주특별자치도,서귀포시,5,2021
제주특별자치도,제주시,18,2021
서울특별시,강남구,51,2022
서울특별시,강동구,19,2022
서울특별시,강북구,5,2022
서울특별시,강서구,20,2022
서울특별시,관악구,22,2022
서울특별시,광진구,12,2022
서울특별시,구로구,13,2022
서울특별시,금천구,9,2022
서울특별시,노원구,17,2022
서울특별시,도봉구,6,2022
서울특별시,동대문구,15,2022
서울특별시,동작구,9,2022
서울특별시,마포구,25,2022
서울특별시,서대문구,8,2022
서울특별시,서초구,35,2022
서울특별시,성동구,10,2022
서울특별시,성북구,12,2022
서울특별시,송파구,24,2022
서울특별시,양천구,14,2022
서울특별시,영등포구,17,2022
서울특별시,용산구,8,2022
서울특별시,은평구,12,2022
서울특별시,종로구,11,2022
서울특별시,중구,10,2022
서울특별시,중랑구,9,2022
부산광역시,부산강서구,1,2022
부산광역시,부산금정구,5,2022
부산광역시,부산기장군,3,2022
부산광역시,부산남구,5,2022
부산광역시,부산동구,1,2022
부산광역시,부산동래구,5,2022
부산광역시,부산북구,4,2022
부산광역시,부산사상구,4,2022
부산광역시,부산사하구,4,2022
부산광역시,부산서구,2,2022
부산광역시,부산수영구,3,2022
부산광역시,부산연제구,5,2022
부산광역시,부산영도구,5,2022
부산광역시,부산중구,1,2022
부산광역시,부산진구,8,2022
부산광역시,부산해운대구,11,2022
대구광역시,대구남구,5,2022
대구광역시,대구달서구,18,2022
대구광역시,대구달성군,4,2022
대구광역시,대구동구,12,2022
대구광역시,대구북구,13,2022
대구광역시,대구서구,4,2022
대구광역시,대구수성구,16,2022
대구광역시,대구중구,8,2022
인천광역시,인천계양구,7,2022
인천광역시,인천남동구,10,2022
인천광역시,인천동구,2,2022
인천광역시,인천미추홀구,8,2022
인천광역시,인천부평구,13,2022
인천광역시,인천서구,11,2022
인천광역시,인천연수구,6,2022
인천광역시,인천중구,3,2022
광주광역시,광주광산구,12,2022
광주광역시,광주남구,2,2022
광주광역시,광주동구,5,2022
광주광역시,광주북구,9,2022
광주광역시,광주서구,8,2022
대전광역시,대전대덕구,6,2022
대전광역시,대전동구,6,2022
대전광역시,대전서구,18,2022
대전광역시,대전유성구,8,2022
대전광역시,대전중구,2,2022
울산광역시,울산남구,15,2022
울산광역시,울산동구,4,2022
울산광역시,울산북구,4,2022
울산광역시,울산울주군,3,2022
울산광역시,울산중구,4,2022
세종특별자치시,세종시,9,2022
경기도,고양덕양구,12,2022
경기도,고양일산동구,6,2022
경기도,고양일산서구,6,2022
경기도,과천시,2,2022
경기도,광명시,10,2022
경기도,광주시,6,2022
경기도,구리시,6,2022
경기도,군포시,5,2022
경기도,김포시,10,2022
경기도,남양주시,19,2022
경기도,동두천시,3,2022
경기도,부천시,19,2022
경기도,성남분당구,18,2022
경기도,성남수정구,9,2022
경기도,성남중원구,6,2022
경기도,수원권선구,1,2022
경기도,수원영통구,7,2022
경기도,수원장안구,4,2022
경기도,수원팔달구,11,2022
경기도,시흥시,15,2022
경기도,안산단원구,11,2022
경기도,안산상록구,4,2022
경기도,안성시,3,2022
경기도,안양동안구,13,2022
경기도,안양만안구,4,2022
경기도,양주시,3,2022
경기도,양평군,1,2022
경기도,여주시,2,2022
경기도,오산시,3,2022
경기도,용인기흥구,7,2022
경기도,용인수지구,7,2022
경기도,용인처인구,4,2022
경기도,의왕시,1,2022
경기도,의정부시,9,2022
경기도,이천시,4,2022
경기도,파주시,3,2022
경기도,평택시,11,2022
경기도,포천시,3,2022
경기도,하남시,9,2022
경기도,화성시,14,2022
강원특별자치도,강릉시,8,2022
강원특별자치도,동해시,2,2022
강원특별자치도,삼척시,1,2022
강원특별자치도,속초시,4,2022
강원특별자치도,원주시,9,2022
강원특별자치도,춘천시,7,2022
강원특별자치도,태백시,1,2022
강원특별자치도,홍천군,1,2022
충청북도,보은군,1,2022
충청북도,옥천군,1,2022
충청북도,음성군,1,2022
충청북도,제천시,7,2022
충청북도,증평군,1,2022
충청북도,진천군,1,2022
충청북도,청주상당구,6,2022
충청북도,청주서원구,3,2022
충청북도,청주청원구,3,2022
충청북도,청주흥덕구,8,2022
충청북도,충주시,7,2022
충청남도,계룡시,1,2022
충청남도,공주시,4,2022
충청남도,금산군,1,2022
충청남도,논산시,3,2022
충청남도,당진시,2,2022
충청남도,보령시,2,2022
충청남도,서산시,3,2022
충청남도,서천군,1,2022
충청남도,아산시,3,2022
충청남도,예산군,1,2022
충청남도,천안동남구,5,2022
충청남도,천안서북구,12,2022
충청남도,홍성군,3,2022
전라북도,군산시,7,2022
전라북도,김제시,2,2022
