년도,시도,시군구,산후조리원수,일반실_병실수,특실_병실수,총병실수
2020,광주,중랑구,0,0,0,0
2020,광주,성북구,0,0,0,0
2020,광주,강북구,0,0,0,0
2020,광주,도봉구,0,0,0,0
2020,광주,노원구,0,0,0,0
2020,광주,은평구,0,0,0,0
2020,광주,서대문구,0,0,0,0
2020,광주,마포구,0,0,0,0
2020,광주,양천구,0,0,0,0
2020,광주,강서구,0,0,0,0
2020,광주,구로구,0,0,0,0
2020,광주,금천구,0,0,0,0
2020,광주,영등포구,0,0,0,0
2020,광주,동작구,0,0,0,0
2020,광주,관악구,0,0,0,0
2020,광주,서초구,0,0,0,0
2020,광주,강남구,0,0,0,0
2020,광주,송파구,0,0,0,0
2020,광주,강동구,0,0,0,0
2020,광주,서구,1,308,420,728
2020,광주,동구,0,0,0,0
2020,광주,부산진구,0,0,0,0
2020,광주,동래구,0,0,0,0
2020,광주,남구,1,168,240,408
2020,광주,북구,4,911,1203,2114
2020,광주,해운대구,0,0,0,0
2020,광주,사하구,0,0,0,0
2020,광주,금정구,0,0,0,0
2020,광주,연제구,0,0,0,0
2020,광주,수영구,0,0,0,0
2020,광주,기장군,0,0,0,0
2020,광주,수성구,0,0,0,0
2020,광주,달서구,0,0,0,0
2020,광주,달성군,0,0,0,0
2020,광주,미추홀구,0,0,0,0
2020,광주,연수구,0,0,0,0
2020,광주,남동구,0,0,0,0
2020,광주,부평구,0,0,0,0
2020,광주,계양구,0,0,0,0
2020,광주,광산구,1,215,363,578
2020,광주,유성구,0,0,0,0
2020,광주,세종시,0,0,0,0
2020,광주,고양시 덕양구,0,0,0,0
2020,광주,고양시 일산동구,0,0,0,0
2020,광주,고양시 일산서구,0,0,0,0
2020,광주,광명시,0,0,0,0
2020,광주,구리시,0,0,0,0
2020,광주,군포시,0,0,0,0
2020,광주,김포시,0,0,0,0
2020,광주,남양주시,0,0,0,0
2020,광주,남양주시(풍양),0,0,0,0
2020,광주,부천시 원미구,0,0,0,0
2020,광주,성남시 분당구,0,0,0,0
2020,광주,성남시 수정구,0,0,0,0
2020,광주,성남시 중원구,0,0,0,0
2020,광주,시흥시,0,0,0,0
2020,광주,안산시 단원구,0,0,0,0
2020,광주,안산시 상록구,0,0,0,0
2020,광주,안성시,0,0,0,0
2020,광주,안양시 동안구,0,0,0,0
2020,광주,안양시 만안구,0,0,0,0
2020,광주,양주시,0,0,0,0
2020,광주,오산시,0,0,0,0
2020,광주,용인시 기흥구,0,0,0,0
2020,광주,용인시 수지구,0,0,0,0
2020,광주,용인시 처인구,0,0,0,0
2020,광주,의왕시,0,0,0,0
2020,광주,의정부시,0,0,0,0
2020,광주,이천시,0,0,0,0
2020,광주,파주시,0,0,0,0
2020,광주,평택시평택,0,0,0,0
2020,광주,평택시송탄,0,0,0,0
2020,광주,하남시,0,0,0,0
2020,광주,화성시,0,0,0,0
2020,광주,수원시 장안구,0,0,0,0
2020,광주,수원시 권선구,0,0,0,0
2020,광주,수원시 팔달구,0,0,0,0
2020,광주,수원시 영통구,0,0,0,0
2020,광주,여주시,0,0,0,0
2020,광주,강릉시,0,0,0,0
2020,광주,동해시,0,0,0,0
2020,광주,삼척시,0,0,0,0
2020,광주,원주시,0,0,0,0
2020,광주,춘천시,0,0,0,0
2020,광주,철원군,0,0,0,0
2020,광주,천안시 동남구,0,0,0,0
2020,광주,천안시 서북구,0,0,0,0
2020,광주,공주시,0,0,0,0
2020,광주,아산시,0,0,0,0
2020,광주,서산시,0,0,0,0
2020,광주,당진시,0,0,0,0
2020,광주,청주시 상당구,0,0,0,0
2020,광주,청주시 서원구,0,0,0,0
2020,광주,청주시 흥덕구,0,0,0,0
2020,광주,청주시 청원구,0,0,0,0
2020,광주,충주시,0,0,0,0
2020,광주,군산시,0,0,0,0
2020,광주,전주시,0,0,0,0
2020,광주,익산시,0,0,0,0
2020,광주,정읍시,0,0,0,0
2020,광주,목포시,0,0,0,0
2020,광주,여수시,0,0,0,0
2020,광주,순천시,0,0,0,0
2020,광주,광양시,0,0,0,0
2020,광주,강진군,0,0,0,0
2020,광주,해남군,0,0,0,0
2020,광주,영광군,0,0,0,0
2020,광주,완도군,0,0,0,0
2020,광주,경산시,0,0,0,0
2020,광주,경주시,0,0,0,0
2020,광주,구미시,0,0,0,0
2020,광주,안동시,0,0,0,0
2020,광주,포항시(북구),0,0,0,0
2020,광주,거제시,0,0,0,0
2020,광주,김해시,0,0,0,0
2020,광주,양산시,0,0,0,0
2020,광주,진주시,0,0,0,0
2020,광주,창원시,0,0,0,0
2020,광주,통영시,0,0,0,0
2020,광주,제주시,0,0,0,0
2020,광주,서귀포시,0,0,0,0
2020,광주,용산구,0,0,0,0
2020,광주,수원시,0,0,0,0
2020,광주,용인시,0,0,0,0
2020,광주,고양시,0,0,0,0
2020,광주,성남시,0,0,0,0
2020,광주,부천시,0,0,0,0
2020,광주,안산시,0,0,0,0
2020,광주,평택시,0,0,0,0
2020,광주,안양시,0,0,0,0
2020,광주,포천시,0,0,0,0
